instance;n_colors;mode_var_heuristic;mode_val_heuristic;forward_checking;arc_consistency;time_limit (s);termination_status;convergence_time (s);n_nodes_open;solution_found
instances/carto_myciel4_opti5.txt;4.0;1.0;1.0;1.0;1.0;200;False;200.0001094341278;1479519;False
instances/carto_myciel4_opti5.txt;4.0;1.0;2.0;1.0;1.0;200;False;200.00004196166992;1542598;False
instances/carto_myciel4_opti5.txt;4.0;2.0;1.0;1.0;1.0;200;True;3.397190570831299;30976;False
instances/carto_myciel4_opti5.txt;4.0;2.0;2.0;1.0;1.0;200;True;3.644869327545166;30976;False
instances/carto_myciel4_opti5.txt;4.0;3.0;1.0;1.0;1.0;200;True;89.33105063438416;776436;False
instances/carto_myciel4_opti5.txt;4.0;3.0;2.0;1.0;1.0;200;True;91.53261661529541;776436;False
instances/carto_myciel4_opti5.txt;4.0;4.0;1.0;1.0;1.0;200;True;91.81540560722351;674632;False
instances/carto_myciel4_opti5.txt;4.0;4.0;2.0;1.0;1.0;200;True;94.87680912017822;674632;False
instances/carto_myciel4_opti5.txt;5.0;1.0;1.0;1.0;1.0;200;True;0.002775907516479492;23;True
instances/carto_myciel4_opti5.txt;5.0;1.0;2.0;1.0;1.0;200;True;0.003075122833251953;23;True
instances/carto_myciel4_opti5.txt;5.0;2.0;1.0;1.0;1.0;200;True;0.003390073776245117;23;True
instances/carto_myciel4_opti5.txt;5.0;2.0;2.0;1.0;1.0;200;True;0.003175020217895508;23;True
instances/carto_myciel4_opti5.txt;5.0;3.0;1.0;1.0;1.0;200;True;0.002752304077148437;23;True
instances/carto_myciel4_opti5.txt;5.0;3.0;2.0;1.0;1.0;200;True;0.003144502639770508;23;True
instances/carto_myciel4_opti5.txt;5.0;4.0;1.0;1.0;1.0;200;True;0.003300666809082031;23;True
instances/carto_myciel4_opti5.txt;5.0;4.0;2.0;1.0;1.0;200;True;0.003600597381591797;23;True
instances/carto_myciel4_opti5.txt;6.0;1.0;1.0;1.0;1.0;200;True;0.0028433799743652344;23;True
instances/carto_myciel4_opti5.txt;6.0;1.0;2.0;1.0;1.0;200;True;0.003260612487792969;23;True
instances/carto_myciel4_opti5.txt;6.0;2.0;1.0;1.0;1.0;200;True;0.00299835205078125;23;True
instances/carto_myciel4_opti5.txt;6.0;2.0;2.0;1.0;1.0;200;True;0.003516435623168945;23;True
instances/carto_myciel4_opti5.txt;6.0;3.0;1.0;1.0;1.0;200;True;0.002915859222412109;23;True
instances/carto_myciel4_opti5.txt;6.0;3.0;2.0;1.0;1.0;200;True;0.003364086151123047;23;True
instances/carto_myciel4_opti5.txt;6.0;4.0;1.0;1.0;1.0;200;True;0.0037691593170166016;23;True
instances/carto_myciel4_opti5.txt;6.0;4.0;2.0;1.0;1.0;200;True;0.004217386245727539;23;True
instances/carto_queen5_5_opti5.txt;4.0;1.0;1.0;1.0;1.0;200;True;0.00885462760925293;64;False
instances/carto_queen5_5_opti5.txt;4.0;1.0;2.0;1.0;1.0;200;True;0.010309696197509766;64;False
instances/carto_queen5_5_opti5.txt;4.0;2.0;1.0;1.0;1.0;200;True;0.009499549865722656;64;False
instances/carto_queen5_5_opti5.txt;4.0;2.0;2.0;1.0;1.0;200;True;0.010819673538208008;64;False
instances/carto_queen5_5_opti5.txt;4.0;3.0;1.0;1.0;1.0;200;True;0.0202484130859375;136;False
instances/carto_queen5_5_opti5.txt;4.0;3.0;2.0;1.0;1.0;200;True;0.02691173553466797;136;False
instances/carto_queen5_5_opti5.txt;4.0;4.0;1.0;1.0;1.0;200;True;0.018229007720947262;64;False
instances/carto_queen5_5_opti5.txt;4.0;4.0;2.0;1.0;1.0;200;True;0.020175933837890625;64;False
instances/carto_queen5_5_opti5.txt;5.0;1.0;1.0;1.0;1.0;200;True;0.008007287979125977;29;True
instances/carto_queen5_5_opti5.txt;5.0;1.0;2.0;1.0;1.0;200;True;0.009090185165405272;29;True
instances/carto_queen5_5_opti5.txt;5.0;2.0;1.0;1.0;1.0;200;True;0.007325887680053711;25;True
instances/carto_queen5_5_opti5.txt;5.0;2.0;2.0;1.0;1.0;200;True;0.008458614349365234;25;True
instances/carto_queen5_5_opti5.txt;5.0;3.0;1.0;1.0;1.0;200;True;0.008388280868530273;31;True
instances/carto_queen5_5_opti5.txt;5.0;3.0;2.0;1.0;1.0;200;True;0.010101795196533205;31;True
instances/carto_queen5_5_opti5.txt;5.0;4.0;1.0;1.0;1.0;200;True;0.010039806365966795;27;True
