nqueens;mode_var_heuristic;mode_val_heuristic;forward_checking;arc_consistency;time_limit (s);convergence_time (s);n_nodes_open;termination_status;solution_found
9.0;4.0;2.0;1.0;1.0;200;0.02363824844360352;148;True;True
10.0;1.0;1.0;1.0;1.0;200;0.016732215881347656;112;True;True
10.0;1.0;2.0;1.0;1.0;200;0.04311823844909668;187;True;True
10.0;2.0;1.0;1.0;1.0;200;0.015551328659057615;111;True;True
10.0;2.0;2.0;1.0;1.0;200;0.027222394943237305;124;True;True
10.0;3.0;1.0;1.0;1.0;200;0.016382217407226562;112;True;True
10.0;3.0;2.0;1.0;1.0;200;0.03747224807739258;187;True;True
10.0;4.0;1.0;1.0;1.0;200;0.01757669448852539;112;True;True
10.0;4.0;2.0;1.0;1.0;200;0.04032778739929199;187;True;True
11.0;1.0;1.0;1.0;1.0;200;0.010574102401733398;58;True;True
11.0;1.0;2.0;1.0;1.0;200;0.06511974334716797;254;True;True
11.0;2.0;1.0;1.0;1.0;200;0.0363161563873291;173;True;True
11.0;2.0;2.0;1.0;1.0;200;0.03418231010437012;108;True;True
11.0;3.0;1.0;1.0;1.0;200;0.010245323181152344;58;True;True
11.0;3.0;2.0;1.0;1.0;200;0.0692586898803711;254;True;True
11.0;4.0;1.0;1.0;1.0;200;0.012791156768798828;58;True;True
11.0;4.0;2.0;1.0;1.0;200;0.07687759399414062;254;True;True
12.0;1.0;1.0;1.0;1.0;200;0.07868528366088867;306;True;True
12.0;1.0;2.0;1.0;1.0;200;0.05605173110961914;162;True;True
12.0;2.0;1.0;1.0;1.0;200;0.06306219100952147;250;True;True
12.0;2.0;2.0;1.0;1.0;200;0.020867586135864258;58;True;True
12.0;3.0;1.0;1.0;1.0;200;0.0712132453918457;306;True;True
12.0;3.0;2.0;1.0;1.0;200;0.0567927360534668;162;True;True
12.0;4.0;1.0;1.0;1.0;200;0.08030152320861816;306;True;True
12.0;4.0;2.0;1.0;1.0;200;0.05731058120727539;162;True;True
13.0;1.0;1.0;1.0;1.0;200;0.03610038757324219;126;True;True
13.0;1.0;2.0;1.0;1.0;200;0.3309736251831055;815;True;True
13.0;2.0;1.0;1.0;1.0;200;0.01092386245727539;35;True;True
13.0;2.0;2.0;1.0;1.0;200;0.1672666072845459;400;True;True
13.0;3.0;1.0;1.0;1.0;200;0.035974740982055664;126;True;True
13.0;3.0;2.0;1.0;1.0;200;0.328446626663208;815;True;True
13.0;4.0;1.0;1.0;1.0;200;0.04410672187805177;126;True;True
13.0;4.0;2.0;1.0;1.0;200;0.3621025085449219;815;True;True
14.0;1.0;1.0;1.0;1.0;200;0.8275260925292969;2141;True;True
14.0;1.0;2.0;1.0;1.0;200;2.1981220245361333;4197;True;True
14.0;2.0;1.0;1.0;1.0;200;0.1481025218963623;373;True;True
14.0;2.0;2.0;1.0;1.0;200;0.995314121246338;1863;True;True
14.0;3.0;1.0;1.0;1.0;200;0.8760495185852051;2141;True;True
14.0;3.0;2.0;1.0;1.0;200;2.245845079421997;4197;True;True
14.0;4.0;1.0;1.0;1.0;200;0.9571280479431152;2141;True;True
14.0;4.0;2.0;1.0;1.0;200;2.284961462020874;4197;True;True
15.0;1.0;1.0;1.0;1.0;200;0.6920754909515381;1497;True;True
15.0;1.0;2.0;1.0;1.0;200;0.29444384574890137;439;True;True
15.0;2.0;1.0;1.0;1.0;200;0.05159616470336914;102;True;True
15.0;2.0;2.0;1.0;1.0;200;0.23731398582458496;338;True;True
15.0;3.0;1.0;1.0;1.0;200;0.7330837249755859;1497;True;True
15.0;3.0;2.0;1.0;1.0;200;0.29719901084899897;439;True;True
15.0;4.0;1.0;1.0;1.0;200;0.8019118309020996;1497;True;True
15.0;4.0;2.0;1.0;1.0;200;0.3384361267089844;439;True;True
16.0;1.0;1.0;1.0;1.0;200;7.143523216247559;11152;True;True
16.0;1.0;2.0;1.0;1.0;200;14.740097761154175;17000;True;True
16.0;2.0;1.0;1.0;1.0;200;0.491330623626709;787;True;True
16.0;2.0;2.0;1.0;1.0;200;6.054991960525513;6968;True;True
16.0;3.0;1.0;1.0;1.0;200;7.238702535629272;11152;True;True
16.0;3.0;2.0;1.0;1.0;200;14.650345802307127;17000;True;True
16.0;4.0;1.0;1.0;1.0;200;7.343087196350098;11152;True;True
16.0;4.0;2.0;1.0;1.0;200;15.372467041015625;17000;True;True
17.0;1.0;1.0;1.0;1.0;200;4.629088401794434;6099;True;True
17.0;1.0;2.0;1.0;1.0;200;9.296224832534788;9271;True;True
17.0;2.0;1.0;1.0;1.0;200;0.05885744094848633;74;True;True
17.0;2.0;2.0;1.0;1.0;200;4.185847520828247;4030;True;True
17.0;3.0;1.0;1.0;1.0;200;4.581512928009033;6099;True;True
17.0;3.0;2.0;1.0;1.0;200;9.42345690727234;9271;True;True
17.0;4.0;1.0;1.0;1.0;200;4.97446608543396;6099;True;True
17.0;4.0;2.0;1.0;1.0;200;10.194909572601318;9271;True;True
18.0;1.0;1.0;1.0;1.0;200;43.277881145477295;46093;True;True
18.0;1.0;2.0;1.0;1.0;200;47.45620322227478;37554;True;True
18.0;2.0;1.0;1.0;1.0;200;0.0701284408569336;79;True;True
18.0;2.0;2.0;1.0;1.0;200;18.94806408882141;14582;True;True
18.0;3.0;1.0;1.0;1.0;200;44.81340312957764;46093;True;True
18.0;3.0;2.0;1.0;1.0;200;47.35128211975098;37554;True;True
18.0;4.0;1.0;1.0;1.0;200;46.61795568466186;46093;True;True
18.0;4.0;2.0;1.0;1.0;200;49.99545907974243;37554;True;True
19.0;1.0;1.0;1.0;1.0;200;2.990140199661255;2841;True;True
19.0;1.0;2.0;1.0;1.0;200;28.2414288520813;19176;True;True
